timestamp,event_type,user,department,device,src_ip,dest_ip,dest_port,method,url,host,status,bytes_out,bytes_in,duration_ms,category,action,threat,user_agent,anomaly_type,anomaly_reason,anomaly_confidence
2026-02-23T08:14:22Z,web_proxy,lisa.chen@contoso.com,Marketing,LAPTOP-MKT-007,10.30.5.12,151.101.1.69,443,GET,https://www.linkedin.com/feed,www.linkedin.com,200,1102,45221,287,Social Media,Allowed,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0,,,
2026-02-23T08:31:05Z,web_proxy,tom.nguyen@contoso.com,Engineering,MBP-ENG-089,10.44.2.17,185.199.108.153,443,GET,https://docs.github.com/en/rest,docs.github.com,200,844,31829,195,Developer Tools,Allowed,,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) Safari/605.1.15,,,
2026-02-23T09:02:18Z,web_proxy,admin@contoso.com,IT,SRV-WEB-03,10.1.1.50,93.184.216.34,443,POST,https://api.internal.contoso.com/admin/users,api.internal.contoso.com,200,2841,512,42,Internal,Allowed,,python-requests/2.31.0,,,
2026-02-23T09:45:33Z,web_proxy,unknown,None,LAPTOP-SLS-031,10.18.3.90,104.26.10.78,443,GET,https://pastebin.com/raw/kX9f2mZq,pastebin.com,200,211,48912,890,Uncategorized,Allowed,Suspicious,curl/7.81.0,possible_data_staging,GET request to pastebin raw paste from corporate device using curl; potential data staging or C2 payload retrieval.,0.78
2026-02-23T10:12:44Z,web_proxy,jane.doe@contoso.com,Finance,LAPTOP-FIN-014,10.22.14.51,104.18.32.7,443,POST,https://hooks.slack.com/services/T00000000/B00000000/XXXX,hooks.slack.com,200,8923,127,301,Business,Allowed,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0,,,
2026-02-23T11:08:55Z,web_proxy,mike.watson@contoso.com,Sales,LAPTOP-SLS-031,10.18.3.90,162.125.8.18,443,POST,https://content.dropboxapi.com/2/files/upload,content.dropboxapi.com,200,94215389,1841,7233,Cloud Storage,Allowed,,DropboxDesktopClient/195.4,possible_data_exfiltration,Large upload (89.8 MB) to Dropbox from Sales device; second large cloud storage upload in 24h window.,0.82
2026-02-23T12:30:11Z,web_proxy,svc-monitor@contoso.com,IT,SRV-MON-01,10.1.3.20,91.214.124.77,443,CONNECT,https://x7m2kp9v.top:443,x7m2kp9v.top,200,512,384,1102,Newly Registered Domain,Allowed,C2,curl/7.81.0,beaconing_c2,CONNECT to newly registered domain from monitoring server; short session with minimal data transfer; matches beaconing pattern.,0.91
2026-02-23T13:15:28Z,web_proxy,sam.lee@contoso.com,Engineering,MBP-ENG-122,10.44.8.23,140.82.112.4,443,POST,https://github.com/contoso/internal-tools/issues/new,github.com,200,4521,2103,445,Developer Tools,Allowed,,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) Safari/605.1.15,,,
2026-02-23T14:22:09Z,web_proxy,lisa.chen@contoso.com,Marketing,LAPTOP-MKT-007,10.30.5.12,172.217.14.99,443,GET,https://ads.google.com/aw/campaigns,ads.google.com,200,1523,67432,521,Advertising,Allowed,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0,,,
2026-02-23T15:01:37Z,web_proxy,unknown,None,LAPTOP-FIN-014,10.22.14.51,198.51.100.42,8443,CONNECT,https://198.51.100.42:8443,198.51.100.42,200,2048,1024,3500,Uncategorized,Allowed,Suspicious,Mozilla/5.0,encrypted_tunnel,Direct IP connection on non-standard port from Finance device; possible encrypted tunnel bypassing proxy inspection.,0.85
2026-02-23T15:44:12Z,web_proxy,tom.nguyen@contoso.com,Engineering,MBP-ENG-089,10.44.2.17,52.84.225.100,443,GET,https://d1.awsstatic.com/whitepapers/architecture/AWS_Well-Architected_Framework.pdf,d1.awsstatic.com,200,891,2341892,1203,Cloud Services,Allowed,,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) Safari/605.1.15,,,
2026-02-23T16:33:50Z,web_proxy,admin@contoso.com,IT,SRV-WEB-03,10.1.1.50,10.1.1.51,22,CONNECT,ssh://10.1.1.51:22,10.1.1.51,200,4096,2048,120000,Internal,Allowed,,OpenSSH_8.9,lateral_movement,SSH session from web server to adjacent internal host; potential lateral movement if web server is compromised.,0.72
